experiment,L1,RMSE,Pearson
word_len (baseline),es,1.7778093951032228,0.3779344195803188
word_len (baseline),de,1.7073127880489407,0.3559682754008848
edit_dist,es,1.7917086756651346,0.3571238267642466
edit_dist,de,1.6997500268782466,0.3660729086948731
norm_edit_dist,es,1.887912759536715,0.1776832253364149
norm_edit_dist,de,1.7195395619962195,0.3344715059508636
word_len + edit_dist,es,1.704583140158448,0.4592592123609998
word_len + edit_dist,de,1.595855270346596,0.4892069042789002
word_len + norm_edit,es,1.70333298235917,0.4572136712318281
word_len + norm_edit,de,1.5566596995500823,0.5227200729350722
vowels,es,1.829721556633202,0.3046553534007624
vowels,de,1.740614907471289,0.3024495022135857
consonants,es,1.7937989402457366,0.3517173215339702
consonants,de,1.7301859735393532,0.3200527285123369
vowels + consonants,es,1.77861698423268,0.3748396285107349
vowels + consonants,de,1.7072263430844297,0.3561237210236522
vowel_ratio,es,1.9154931816443317,0.0021622247935966
vowel_ratio,de,1.8239381028699335,0.0336370797912194
all_simple,es,1.7033990626453697,0.4571121661096414
all_simple,de,1.5565820440893197,0.5228082468844437
all_with_ratio,es,1.7033016657091724,0.4572042802110572
all_with_ratio,de,1.5566813757051572,0.5226955013979471
threshold_0.5,es,1.6813780654696058,0.4801428741416857
threshold_0.5,de,1.6038930587549818,0.4768825505427131
word_len + norm_edit + pos,es,1.6634588065592577,0.495536303756573
word_len + norm_edit + pos,de,1.53644375793592,0.5402388713959411
best + pos,es,1.6632608482532012,0.4956655307451708
best + pos,de,1.5364792359966883,0.5402214985450042
tier1_ridge,es,1.6251719004640772,0.5296202717468838
tier1_ridge,de,1.5267360295057872,0.5480623114580283
tier1_xgb,es,1.6134548886340905,0.5428315552990246
tier1_xgb,de,1.52398960255947,0.550680599917065
full_xgb,es,1.463991163436844,0.6458263711600422
full_xgb,de,1.4210282697608327,0.6277225115179713
full_xgb_v2,es,1.4373549690647214,0.6631739707104614
full_xgb_v2,de,1.3978039837038074,0.6428378604328028
full_xgb_embed,es,1.3504633471725631,0.7094127623707878
full_xgb_embed,de,1.3385561959382433,0.6800744185931131
full_xgb_v2_embed,es,1.327026849601314,0.7230840295615741
full_xgb_v2_embed,de,1.3342465581461798,0.6824710851025053
word_len (baseline),cn,1.5086772496424259,0.45175184981914207
edit_dist,cn,1.5698511997464442,0.37770540193024404
norm_edit_dist,cn,1.6892875099108373,0.042075099666420424
word_len + edit_dist,cn,1.4872466765101673,0.475868528000554
word_len + norm_edit,cn,1.5062041439864593,0.45480864211766087
vowels,cn,1.5805731784845545,0.35574686482275053
consonants,cn,1.528663008677459,0.4265048815722121
vowels + consonants,cn,1.5077740449401058,0.45272294179763184
vowel_ratio,cn,1.691918898334659,-0.015286496911956613
all_simple,cn,1.5052232467072086,0.4558272056614915
all_with_ratio,cn,1.5044944657929844,0.4566404748786145
threshold_0.5,cn,1.5086772496424259,0.45175184981914207
word_len + norm_edit + pos,cn,1.4934545787890587,0.46832209532346125
best + pos,cn,1.4919426544769687,0.469814491070695
tier1_ridge,cn,1.46829544582257,0.49470944651655985
tier1_xgb,cn,1.458851961379972,0.5059360158068997
full_xgb,cn,1.2570612985574314,0.6681211524504432
full_xgb_v2,cn,1.24097374890692,0.6799113807673929
full_xgb_embed,cn,1.1809826571706092,0.714461312163317
full_xgb_v2_embed,cn,1.158261914552882,0.7274648675043189
