n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,cv_rmse
600,3,0.1,0.7,0.85,0.0,0.5,1.364960147330142
600,5,0.1,0.7,0.7,0.5,0.5,1.4159979571750316
600,5,0.02,0.85,0.85,0.1,1.0,1.3378123291531483
400,3,0.02,0.85,0.85,0.1,0.5,1.3390114119797925
200,3,0.1,0.7,0.7,0.1,2.0,1.3401899398512391
400,5,0.1,0.85,0.7,0.5,0.5,1.3855123123018358
600,3,0.1,0.7,0.7,0.0,2.0,1.3626313074473064
400,3,0.05,0.85,0.85,0.0,1.0,1.336166303895107
200,5,0.1,0.85,0.7,0.0,2.0,1.3541849933773744
600,5,0.02,0.85,0.85,0.1,1.0,1.3378123291531483
400,5,0.05,0.85,0.85,0.0,2.0,1.3483199076164136
400,5,0.05,0.85,0.85,0.1,2.0,1.347188494017156
600,5,0.1,0.85,0.7,0.1,0.5,1.4070077666316014
200,5,0.1,0.7,0.85,0.1,0.5,1.3677855001600452
200,3,0.02,0.7,0.7,0.0,0.5,1.3487906583160654
600,3,0.02,0.85,0.85,0.5,2.0,1.336905129593013
600,3,0.1,0.7,0.7,0.5,0.5,1.3624016470736058
400,7,0.05,0.7,0.85,0.5,0.5,1.3897480425761084
400,3,0.1,0.7,0.85,0.0,2.0,1.3473602535935316
400,7,0.1,0.7,0.7,0.0,2.0,1.4348820103152515
400,7,0.02,0.7,0.85,0.5,2.0,1.348210442109142
400,7,0.1,0.7,0.7,0.5,1.0,1.4327699848341031
400,3,0.1,0.7,0.85,0.5,0.5,1.3528564526964497
200,5,0.02,0.7,0.7,0.0,2.0,1.3383232145992792
600,3,0.02,0.85,0.7,0.5,2.0,1.3373671467793833
400,5,0.05,0.7,0.85,0.0,0.5,1.3533183509135551
400,5,0.05,0.7,0.85,0.1,2.0,1.351641086055774
200,7,0.05,0.7,0.7,0.0,2.0,1.3581273361662127
400,3,0.02,0.7,0.7,0.5,1.0,1.3391933550036437
600,3,0.05,0.7,0.7,0.5,1.0,1.3409210788655206
600,7,0.05,0.85,0.85,0.0,0.5,1.3991171280574897
400,3,0.05,0.85,0.85,0.1,2.0,1.3357984663196072
400,7,0.02,0.7,0.7,0.0,2.0,1.3447828962159796
200,5,0.05,0.85,0.85,0.5,0.5,1.3383547837619525
200,3,0.1,0.85,0.85,0.0,1.0,1.341182816465543
400,7,0.1,0.7,0.85,0.5,0.5,1.4341078993323984
600,5,0.02,0.85,0.85,0.1,1.0,1.3378123291531483
600,7,0.02,0.7,0.85,0.5,1.0,1.3568052979932368
200,7,0.1,0.85,0.7,0.1,2.0,1.3851103447603987
600,7,0.1,0.85,0.7,0.0,2.0,1.4284324300825602
400,3,0.1,0.85,0.7,0.0,1.0,1.3457747375195122
600,7,0.05,0.85,0.7,0.5,1.0,1.394795618112998
200,3,0.05,0.7,0.85,0.1,0.5,1.3395393689805954
200,7,0.1,0.7,0.7,0.5,2.0,1.3924002162870583
600,5,0.02,0.85,0.85,0.5,0.5,1.3392311136987396
400,5,0.1,0.85,0.85,0.0,2.0,1.378795113269706
200,3,0.05,0.85,0.85,0.1,1.0,1.3372861301573462
400,7,0.02,0.7,0.85,0.0,0.5,1.3472994276393289
400,3,0.1,0.7,0.7,0.0,2.0,1.351093568672853
600,5,0.1,0.85,0.85,0.1,1.0,1.4119019223535734
400,3,0.1,0.85,0.85,0.5,2.0,1.3457761706521258
400,3,0.05,0.7,0.85,0.5,0.5,1.339409993698543
200,3,0.1,0.85,0.7,0.0,0.5,1.3409416479022602
400,3,0.05,0.7,0.85,0.5,0.5,1.339409993698543
200,3,0.02,0.85,0.7,0.5,2.0,1.3492125428214663
200,7,0.02,0.7,0.85,0.5,0.5,1.342707026847283
600,5,0.02,0.85,0.7,0.1,1.0,1.338739610500177
600,5,0.05,0.85,0.7,0.1,2.0,1.3645511553438223
400,7,0.1,0.85,0.85,0.1,0.5,1.4259799948860103
200,3,0.1,0.85,0.85,0.5,0.5,1.3385885442574583
400,7,0.05,0.7,0.85,0.0,0.5,1.3879979092395538
400,7,0.02,0.85,0.7,0.0,1.0,1.344681707032231
400,7,0.1,0.7,0.85,0.1,1.0,1.43383105840686
600,7,0.05,0.7,0.7,0.1,2.0,1.4004694165283946
400,3,0.05,0.85,0.85,0.1,0.5,1.3368778219583448
400,5,0.1,0.85,0.7,0.0,0.5,1.3837732208758737
200,3,0.1,0.85,0.85,0.0,1.0,1.341182816465543
600,7,0.1,0.85,0.85,0.0,1.0,1.4419552992256535
400,5,0.1,0.7,0.85,0.5,2.0,1.3910061551142232
400,7,0.05,0.7,0.85,0.0,1.0,1.3839249501709232
600,7,0.02,0.85,0.7,0.0,1.0,1.3527609895988706
400,3,0.1,0.85,0.85,0.1,1.0,1.348598425458047
200,3,0.02,0.7,0.85,0.0,2.0,1.3472143571257402
600,3,0.05,0.7,0.7,0.5,1.0,1.3409210788655206
600,3,0.05,0.7,0.7,0.1,0.5,1.3414433952740858
600,3,0.05,0.85,0.85,0.0,1.0,1.3405782759520926
400,3,0.1,0.85,0.7,0.1,1.0,1.3484838644942634
200,7,0.05,0.85,0.85,0.0,1.0,1.3518157344808246
600,5,0.05,0.7,0.85,0.0,0.5,1.3690171182907722
200,7,0.05,0.7,0.85,0.5,1.0,1.3558773314709618
