n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,cv_rmse
600,3,0.1,0.7,0.85,0.0,0.5,1.4714012476548408
600,5,0.1,0.7,0.7,0.5,0.5,1.5330578767579206
600,5,0.02,0.85,0.85,0.1,1.0,1.4484389169799559
400,3,0.02,0.85,0.85,0.1,0.5,1.4483457008107987
200,3,0.1,0.7,0.7,0.1,2.0,1.4499648959691016
400,5,0.1,0.85,0.7,0.5,0.5,1.493797699566916
600,3,0.1,0.7,0.7,0.0,2.0,1.4705681130756099
400,3,0.05,0.85,0.85,0.0,1.0,1.445010037807523
200,5,0.1,0.85,0.7,0.0,2.0,1.4639402371772972
600,5,0.02,0.85,0.85,0.1,1.0,1.4484389169799559
400,5,0.05,0.85,0.85,0.0,2.0,1.459513291030697
400,5,0.05,0.85,0.85,0.1,2.0,1.4580504539199048
600,5,0.1,0.85,0.7,0.1,0.5,1.5216726917680579
200,5,0.1,0.7,0.85,0.1,0.5,1.4779898729872873
200,3,0.02,0.7,0.7,0.0,0.5,1.4619956594804833
600,3,0.02,0.85,0.85,0.5,2.0,1.4450595218219753
600,3,0.1,0.7,0.7,0.5,0.5,1.4734796871474753
400,7,0.05,0.7,0.85,0.5,0.5,1.4999208184030604
400,3,0.1,0.7,0.85,0.0,2.0,1.463645239558771
400,7,0.1,0.7,0.7,0.0,2.0,1.5450917807554434
400,7,0.02,0.7,0.85,0.5,2.0,1.4543092363533883
400,7,0.1,0.7,0.7,0.5,1.0,1.5506156829350133
400,3,0.1,0.7,0.85,0.5,0.5,1.4612994334911102
200,5,0.02,0.7,0.7,0.0,2.0,1.449546581034666
600,3,0.02,0.85,0.7,0.5,2.0,1.4445514861043935
400,5,0.05,0.7,0.85,0.0,0.5,1.4636450378129873
400,5,0.05,0.7,0.85,0.1,2.0,1.464050326503035
200,7,0.05,0.7,0.7,0.0,2.0,1.459656445332515
400,3,0.02,0.7,0.7,0.5,1.0,1.4464408814501426
600,3,0.05,0.7,0.7,0.5,1.0,1.449275345397266
600,7,0.05,0.85,0.85,0.0,0.5,1.5145666788013057
400,3,0.05,0.85,0.85,0.1,2.0,1.4460158124547429
400,7,0.02,0.7,0.7,0.0,2.0,1.448808659706248
200,5,0.05,0.85,0.85,0.5,0.5,1.447745027040892
200,3,0.1,0.85,0.85,0.0,1.0,1.447548446194634
400,7,0.1,0.7,0.85,0.5,0.5,1.5612389584453328
600,5,0.02,0.85,0.85,0.1,1.0,1.4484389169799559
600,7,0.02,0.7,0.85,0.5,1.0,1.4671876868485134
200,7,0.1,0.85,0.7,0.1,2.0,1.4940127059354689
600,7,0.1,0.85,0.7,0.0,2.0,1.5570988373886083
400,3,0.1,0.85,0.7,0.0,1.0,1.4561606813528223
600,7,0.05,0.85,0.7,0.5,1.0,1.5073081420277283
200,3,0.05,0.7,0.85,0.1,0.5,1.4482843846050266
200,7,0.1,0.7,0.7,0.5,2.0,1.5002212058338142
600,5,0.02,0.85,0.85,0.5,0.5,1.4481768587141626
400,5,0.1,0.85,0.85,0.0,2.0,1.4957972103440873
200,3,0.05,0.85,0.85,0.1,1.0,1.44757524315958
400,7,0.02,0.7,0.85,0.0,0.5,1.452187183717767
400,3,0.1,0.7,0.7,0.0,2.0,1.459675387205903
600,5,0.1,0.85,0.85,0.1,1.0,1.5269963577135752
400,3,0.1,0.85,0.85,0.5,2.0,1.4553181867258995
400,3,0.05,0.7,0.85,0.5,0.5,1.4485524886674586
200,3,0.1,0.85,0.7,0.0,0.5,1.4473932903904483
400,3,0.05,0.7,0.85,0.5,0.5,1.4485524886674586
200,3,0.02,0.85,0.7,0.5,2.0,1.464685152934535
200,7,0.02,0.7,0.85,0.5,0.5,1.449779340423189
600,5,0.02,0.85,0.7,0.1,1.0,1.4458845757681544
600,5,0.05,0.85,0.7,0.1,2.0,1.4684413627638144
400,7,0.1,0.85,0.85,0.1,0.5,1.549672978836617
200,3,0.1,0.85,0.85,0.5,0.5,1.4501769803027507
400,7,0.05,0.7,0.85,0.0,0.5,1.503295716071987
400,7,0.02,0.85,0.7,0.0,1.0,1.4494735639410232
400,7,0.1,0.7,0.85,0.1,1.0,1.5659921142700177
600,7,0.05,0.7,0.7,0.1,2.0,1.5122828779007687
400,3,0.05,0.85,0.85,0.1,0.5,1.4447832302724957
400,5,0.1,0.85,0.7,0.0,0.5,1.4965167563699182
200,3,0.1,0.85,0.85,0.0,1.0,1.447548446194634
600,7,0.1,0.85,0.85,0.0,1.0,1.5700275699337243
400,5,0.1,0.7,0.85,0.5,2.0,1.5049655842927265
400,7,0.05,0.7,0.85,0.0,1.0,1.5003938656197429
600,7,0.02,0.85,0.7,0.0,1.0,1.4586726871047724
400,3,0.1,0.85,0.85,0.1,1.0,1.4558808391983304
200,3,0.02,0.7,0.85,0.0,2.0,1.4623629988606577
600,3,0.05,0.7,0.7,0.5,1.0,1.449275345397266
600,3,0.05,0.7,0.7,0.1,0.5,1.4489537894881797
600,3,0.05,0.85,0.85,0.0,1.0,1.4480901067722773
400,3,0.1,0.85,0.7,0.1,1.0,1.455568679798446
200,7,0.05,0.85,0.85,0.0,1.0,1.4642874177700937
600,5,0.05,0.7,0.85,0.0,0.5,1.481389613250562
200,7,0.05,0.7,0.85,0.5,1.0,1.467180003712691
