model,config_weighting,config_prompting,weight_factor,prompt_id,answer,time_spent,flesch_kincaid_grade,gunning_fog,smog_index,spache_readability,word_count,difficult_words
SmolLM,False,False,"2,0",P1,,"1,8","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P1,,"1,0","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P1,,"0,9","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P1,,"0,7","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P2,,"0,5","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P2,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P2,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P2,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P3,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P3,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P3,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P3,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P4,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P4,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P4,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P4,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P5,,"0,5","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P5,,"0,5","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P5,,"0,4","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P5,,"0,4","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P6,,"0,4","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P6,,"0,4","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P6,,"0,4","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P6,,"0,4","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P7,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P7,,"0,4","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P7,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P7,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P8,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P8,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P8,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P8,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P9,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P9,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P9,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P9,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P10,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P10,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P10,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P10,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P11,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P11,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P11,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P11,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P12,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P12,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P12,,"0,3","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P12,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P13,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P13,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P13,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P13,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P14,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P14,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P14,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P14,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,False,"2,0",P15,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,False,"2,0",P15,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,False,True,"2,0",P15,,"0,2","0,0","0,0","0,0","0,0",0,0
SmolLM,True,True,"2,0",P15,,"0,2","0,0","0,0","0,0","0,0",0,0
